Ref_Des	DBTPRO_NUMBER	VALUE	PTOL	NTOL	PINCOUNT	JEDEC_TYPE
C1	NC.0110206.A	8pF	0,5	0,5	2	C0402T_RW
C10	NC.0094700.A	100nF	10	10	2	C0402T_RW
C100	NC.0094700.A	100nF	10	10	2	C0402T_RW
C104	NC.0094676.A	10nF	1	1	2	C0402T_RW
C11	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C12	NC.0102083.A	10nF	1	1	2	C0603T_RW
C13	NC.0102083.A	10nF	1	1	2	C0603T_RW
C14	NC.0102083.A	10nF	1	1	2	C0603T_RW
C15	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C16	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C165	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C17	NC.0092680.A	10uF	1	1	2	C0805T_RW
C18	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C19	NC.0022806.A	100pF	0.5	0.5	2	C0603T_RW
C2	NC.0110206.A	8pF	0,5	0,5	2	C0402T_RW
C20	NC.0022806.A	100pF	0.5	0.5	2	C0603T_RW
C21	NC.0086273.A	33uF	3.3	3.3	2	C3216T_RW
C22	NC.0023371.A	470pF	47	47	2	C0603T_RW
C23	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C24	NC.0102083.A	10nF	1	1	2	C0603T_RW
C25	NC.0022806.A	100pF	0.5	0.5	2	C0603T_RW
C26	NC.0094700.A	100nF	10	10	2	C0402T_RW
C261	NC.0094700.A	100nF	10	10	2	C0402T_RW
C27	NC.0092680.A	10uF	1	1	2	C0805T_RW
C273	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C274	NC.0094700.A	100nF	10	10	2	C0402T_RW
C28	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C29	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C3	NC.0092680.A	10uF	1	1	2	C0805T_RW
C30	NC.0092680.A	10uF	1	1	2	C0805T_RW
C31	NC.0094700.A	100nF	10	10	2	C0402T_RW
C32	NC.0023200.A	1uF	0.1	0.1	2	C0805T_RW
C34	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C35	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C36	NC.0108461.A	1uF	0.1	0.1	2	C0603T_RW
C37	NC.0094700.A	100nF	10	10	2	C0402T_RW
C38	NC.0094700.A	100nF	10	10	2	C0402T_RW
C39	NC.0102083.A	10nF	1	1	2	C0603T_RW
C4	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C40	NC.0102083.A	10nF	1	1	2	C0603T_RW
C41	NC.0110018.A	470pF	2.35	2.35	2	C0402T_RW
C42	NC.0102083.A	10nF	1	1	2	C0603T_RW
C43	NC.0108461.A	1uF	0.1	0.1	2	C0603T_RW
C44	NC.0094700.A	100nF	10	10	2	C0402T_RW
C45	NC.0105232.A	100nF	10	10	2	C0603T_RW
C46	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C47	NC.0096208.A	220nF	22	22	2	C0603T_RW
C48	NC.0092768.A	10uF	1	1	2	C1210T_RW
C49	NC.0096215.A	470nF	47	47	2	C0603T_RW
C5	NC.0102083.A	10nF	1	1	2	C0603T_RW
C50	NC.0023371.A	470pF	47	47	2	C0603T_RW
C51	NC.0102083.A	10nF	1	1	2	C0603T_RW
C52	NC.0102083.A	10nF	1	1	2	C0603T_RW
C53	NC.0023371.A	470pF	47	47	2	C0603T_RW
C54	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C55	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C56	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C57	NC.0022918.A	100nF	10	10	2	C1206T_RW
C58	NC.0110004.A	4.7nF	0.4	0.4	2	C0402T_RW
C59	NC.0110018.A	470pF	2.35	2.35	2	C0402T_RW
C6	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C60	NC.0110018.A	470pF	2.35	2.35	2	C0402T_RW
C61	NC.0096215.A	470nF	47	47	2	C0603T_RW
C62	NC.0096215.A	470nF	47	47	2	C0603T_RW
C63	NC.0094700.A	100nF	10	10	2	C0402T_RW
C64	NC.0094700.A	100nF	10	10	2	C0402T_RW
C65	NC.0094700.A	100nF	10	10	2	C0402T_RW
C66	NC.0094700.A	100nF	10	10	2	C0402T_RW
C67	NC.0094700.A	100nF	10	10	2	C0402T_RW
C68	NC.0094700.A	100nF	10	10	2	C0402T_RW
C69	NC.0094700.A	100nF	10	10	2	C0402T_RW
C7	NC.0094700.A	100nF	10	10	2	C0402T_RW
C70	NC.0094700.A	100nF	10	10	2	C0402T_RW
C71	NC.0094700.A	100nF	10	10	2	C0402T_RW
C72	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C73	NC.0105232.A	100nF	10	10	2	C0603T_RW
C74	NC.0102083.A	10nF	1	1	2	C0603T_RW
C75	NC.0102083.A	10nF	1	1	2	C0603T_RW
C76	NC.0094700.A	100nF	10	10	2	C0402T_RW
C77	NC.0094700.A	100nF	10	10	2	C0402T_RW
C78	NC.0092680.A	10uF	1	1	2	C0805T_RW
C79	NC.0094700.A	100nF	10	10	2	C0402T_RW
C8	NC.0102083.A	10nF	1	1	2	C0603T_RW
C80	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C81	NC.0094700.A	100nF	10	10	2	C0402T_RW
C82	NC.0094705.A	1nF	0.1	0.1	2	C0402T_RW
C83	NC.0023142.A	1nF	0.1	0.1	2	C1206T_RW
C84	NC.0094700.A	100nF	10	10	2	C0402T_RW
C85	NC.0094676.A	10nF	1	1	2	C0402T_RW
C86	NC.0084826.A	47uF	9.4	9.4	2	C63X61T_RW
C87	NC.0094700.A	100nF	10	10	2	C0402T_RW
C88	NC.0094700.A	100nF	10	10	2	C0402T_RW
C89	NC.0094700.A	100nF	10	10	2	C0402T_RW
C9	NC.0108461.A	1uF	0.1	0.1	2	C0603T_RW
C90	NC.0094676.A	10nF	1	1	2	C0402T_RW
C91	NC.0084366.A	1nF	0.005	0.005	2	C0603T_RW
C92	NC.0094700.A	100nF	10	10	2	C0402T_RW
C93	NC.0094703.A	47nF	4.7	4.7	2	C0402T_RW
C94	NC.0102083.A	10nF	1	1	2	C0603T_RW
C95	NC.0094700.A	100nF	10	10	2	C0402T_RW
C96	NC.0094700.A	100nF	10	10	2	C0402T_RW
C97	NC.0102083.A	10nF	1	1	2	C0603T_RW
C98	NC.0096215.A	470nF	47	47	2	C0603T_RW
C99	NC.0023047.A	100nF	10	10	2	C0805T_RW
D1	NL.0107985.A	?			3	DSOTC23T_RW
D10	ND.0023527.A	?			2	DDO214T_RW
D11	ND.0023505.A	?			3	DSODB23T_RW
D12	ND.0023585.A	?			3	DSOD23T_RW
D2	ND.0023586.A	?			3	DSOD23T_RW
D3	NL.0107985.A	?			3	DSOTC23T_RW
D4	ND.0023585.A	?			3	DSOD23T_RW
D5	ND.0023585.A	?			3	DSOD23T_RW
D6	ND.0099232.A	?			3	DSOTC23T_RW
D7	ND.0023545.A	?			3	DSOD23T_RW
D8	ND.0023586.A	?			3	DSOD23T_RW
D9	ND.0023586.A	?			3	DSOD23T_RW
DZ1	NZ.0030696.A	?			3	DSODB23T_RW
DZ2	NL.0030226.A	?			2	DDO214ABT_RW
DZ3	NL.0030203.A	?			2	DDO214AAT_RW
DZ4	NZ.0030684.A	?			3	DSODB23T_RW
DZ5	NZ.0030696.A	?			3	DSODB23T_RW
JR1	NR.0029295.A	0.05			2	R1206T_RW
JR2	NR.0029784.A	0.05			2	R0603T_RW
JR3	NR.0101020.A	0.05			2	R0402T_RW
JR4	NR.0101020.A	0.05			2	R0402T_RW
NTC1	NM.0030168.A	?			2	R0805T_RW
P3	MC.0119030.A	?			10	PM2010VS181_R
P1	PM.0150911.A	?			32	PM2010VS181_R
Q1	NG.0112384.A	?			5	USCT595T_RW
Q10	NT.0118130.A	?			3	QSOTD23T_RW
Q11	NF.0144203.A	?			3	QSOTD23T_RW
Q2	NF.0148347.A	?			5	QPPSO8T_RW
Q3	NF.0121305.A	?			8	QWDFN8_33X33T_RW
Q4	NT.0030449.A	?			3	QSOT23T_RW
Q5	NF.0025940.A	?			8	USO8T_RW
Q6	NG.0076734.A	?			6	USOT363T_RW
Q7	NG.0154583.A	?			8	USO8T_RW
Q8	NT.0084156.A	?			4	QSOTB223T_RW
Q9	NF.0025987.A	?			3	QSOTB23T_RW
R1	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R10	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R100	NR.0113551.A	1k	0.005	0.005	2	R1206T_RW
R101	NR.0112023.A	2.7k	0.01	0.01	2	R0805T_RW
R102	NR.0103905.A	499k	0.499	0.499	2	R0603T_RW
R1021	NR.0112047.A	1k	0.001	0.001	2	R0805T_RW
R1023	NR.0112047.A	1k	0.001	0.001	2	R0805T_RW
R103	NR.0029787.A	1MEG	0.005	0.005	2	R0603T_RW
R104	NR.0140692.A	560	0.56	0.56	2	R0603T_RW
R105	NR.0103905.A	499k	0.499	0.499	2	R0603T_RW
R106	NR.0029763.A	10k	0.05	0.05	2	R0603T_RW
R107	NR.0112042.A	3.3k	0.015	0.015	2	R0805T_RW
R108	NR.0112042.A	3.3k	0.015	0.015	2	R0805T_RW
R109	NR.0111750.A	100	0.5	0.5	2	R0402T_RW
R11	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R110	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R111	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R112	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R113	NR.0029763.A	10k	0.05	0.05	2	R0603T_RW
R114	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R115	NR.0029912.A	150k	1.5	1.5	2	R0603T_RW
R116	NR.0029784.A	0.05			2	R0603T_RW
R117	NR.0120871.A	510	2.55	2.55	2	R1206T_RW
R118	NR.0101020.A	0.05			2	R0402T_RW
R119	NR.0101020.A	0.05			2	R0402T_RW
R12	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R120	NR.0111750.A	100	0.5	0.5	2	R0402T_RW
R121	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R122	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R123	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R124	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R125	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R126	NR.0112047.A	1k	0.001	0.001	2	R0805T_RW
R127	NR.0101020.A	0.05			2	R0402T_RW
R128	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R129	NR.0101020.A	0.05			2	R0402T_RW
R13	NR.0101020.A	0.05			2	R0402T_RW
R130	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R131	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R132	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R133	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R134	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R135	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R136	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R137	NR.0119451.A	30k	0.15	0.15	2	R0402T_RW
R138	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R14	NR.0110021.A	2.7k	0.01	0.01	2	R0402T_RW
R15	NR.0107449.A	27k	0.135	0.135	2	R0402T_RW
R16	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R17	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R171	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R175	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R176	NR.0029770.A	47k	0.235	0.235	2	R0603T_RW
R178	NR.0110021.A	2.7k	0.01	0.01	2	R0402T_RW
R18	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R181	NR.0113550.A	3.9k	0.003	0.003	2	R0402T_RW
R183	NR.0110517.A	10k	0.01	0.01	2	R0402T_RW
R19	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R2	NR.0029763.A	10k	0.05	0.05	2	R0603T_RW
R20	NR.0029407.A	39k	0.195	0.195	2	R1206T_RW
R203	NR.0115351.A	330	1.65	1.65	2	R1206T_RW
R21	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R22	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R23	NR.0029912.A	150k	1.5	1.5	2	R0603T_RW
R24	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R25	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R26	NR.0029912.A	150k	1.5	1.5	2	R0603T_RW
R27	NR.0029309.A	10	0.05	0.05	2	R1206T_RW
R28	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R29	NR.0028521.A	8.25k	0.008	0.008	2	R0805T_RW
R290	NR.0029770.A	47k	0.235	0.235	2	R0603T_RW
R294	NR.0029770.A	47k	0.235	0.235	2	R0603T_RW
R3	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R30	NR.0029770.A	47k	0.235	0.235	2	R0603T_RW
R31	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R32	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R33	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R34	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R35	NR.0028521.A	8.25k	0.008	0.008	2	R0805T_RW
R36	NR.0104564.A	2.2k	0.01	0.01	2	R0402T_RW
R37	NR.0104564.A	2.2k	0.01	0.01	2	R0402T_RW
R38	NR.0107450.A	4.7k	0.02	0.02	2	R0402T_RW
R39	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R4	NR.0110031.A	470k	2.35	2.35	2	R0402T_RW
R40	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R41	NR.0029773.A	100k	0.5	0.5	2	R0603T_RW
R42	NR.0104564.A	2.2k	0.01	0.01	2	R0402T_RW
R43	NR.0029773.A	100k	0.5	0.5	2	R0603T_RW
R44	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R45	NR.0111750.A	100	0.5	0.5	2	R0402T_RW
R46	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R47	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R48	NR.0111498.A	4.75k	0.004	0.004	2	R0402T_RW
R49	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R5	NR.0112023.A	2.7k	0.01	0.01	2	R0805T_RW
R50	NR.0107446.A	47k	0.235	0.235	2	R0402T_RW
R51	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R52	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R53	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R54	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R55	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R56	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R57	NR.0154673.A	1k	0.01	0.01	2	R0402T_RW
R58	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R59	NR.0029902.A	383k	0.383	0.383	2	R0603T_RW
R6	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R60	NR.0029773.A	100k	0.5	0.5	2	R0603T_RW
R61	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R62	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R63	NR.0029409.A	47k	0.235	0.235	2	R1206T_RW
R64	NR.0029409.A	47k	0.235	0.235	2	R1206T_RW
R65	NR.0029407.A	39k	0.195	0.195	2	R1206T_RW
R66	NR.0029902.A	383k	0.383	0.383	2	R0603T_RW
R67	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R68	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R69	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R7	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R70	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R71	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R72	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R73	NR.0123521.A	1.2k	0.005	0.005	2	R0805T_RW
R74	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R75	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R76	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R77	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R78	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R79	NR.0112047.A	1k	0.001	0.001	2	R0805T_RW
R8	NR.0029912.A	150k	1.5	1.5	2	R0603T_RW
R80	NR.0112046.A	61.9	0.061	0.061	2	R0805T_RW
R81	NR.0112046.A	61.9	0.061	0.061	2	R0805T_RW
R82	NR.0140598.A	2k	0.002	0.002	2	R0603T_RW
R83	NR.0112023.A	2.7k	0.01	0.01	2	R0805T_RW
R84	NR.0137594.A	0.005			2	R1206T_RW
R85	NR.0029763.A	10k	0.05	0.05	2	R0603T_RW
R86	NR.0111610.A	2k	0.002	0.002	2	R0805T_RW
R87	NR.0113551.A	1k	0.005	0.005	2	R1206T_RW
R88	NR.0029763.A	10k	0.05	0.05	2	R0603T_RW
R89	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R9	NR.0029902.A	383k	0.383	0.383	2	R0603T_RW
R90	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R91	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
R92	NR.0029912.A	150k	1.5	1.5	2	R0603T_RW
R93	NR.0029770.A	47k	0.235	0.235	2	R0603T_RW
R94	NR.0103905.A	499k	0.499	0.499	2	R0603T_RW
R95	NR.0111610.A	2k	0.002	0.002	2	R0805T_RW
R96	NR.0107451.A	1k	0.005	0.005	2	R0402T_RW
R97	NR.0113551.A	1k	0.005	0.005	2	R1206T_RW
R98	NR.0100870.A	10k	0.05	0.05	2	R0402T_RW
R99	NR.0107448.A	100k	0.5	0.5	2	R0402T_RW
U1	NG.0112397.A	?			5	USOT23-5T_RW
U10	NO.0112549.A	?			8	UTSSOP8T_RW
U11	NT.0109545.A	?			6	QSOT363T_RW
U12	NG.0076734.A	?			6	USOT363T_RW
U13	NG.0079526.A	?			5	USCT595T_RW
U14	NG.0117878.A	?			33	ULFCSP32AT_RW
U15	NG.0148174.A	?			8	USO8T_RW
U17	NG.0100244.A	?			100	ULPQFP100T_RW
U18	NG.0110899.A	?			5	USCT595T_RW
U19	NG.0118678.A	?			15	UQFN14_2-5X3T_RW
U2	NG.0113799.A	?			25	UPTSSOP24T_RW
U20	NG.0100755.A	?			8	USO8T_RW
U22	NG.0122214.A	?			8	UVSSOP8T_RW
U3	NG.0147338.A	?			9	UHVSON8T_RW
U4	NG.0094134.A	?			8	USO8T_RW
U5	NG.0112384.A	?			5	USCT595T_RW
U6	NG.0111572.A	?			8	UOCTAPAKT_RW
U7	NG.0108344.A	?			8	VAPSKP216T_RW
U8	NT.0109545.A	?			6	QSOT363T_RW
U9	NT.0109545.A	?			6	QSOT363T_RW
X1	NQ.0109756.A	?			2	VNX3225GB_RW
