TITLE: Bill of Materials						
DATE: 05/08/2016						
DESIGN: top						
TEMPLATE: D:\HwProj\IAW_SMU3_XX\protoC2\board\generic\sch\bin\top\bom\templ_testing_v2.bom						
CALLOUT: 						
						
Ref Des	DBTPRO_NUMBER	DEVICE_LABEL	VALUE	PINCOUNT	P_PATH	JEDEC_TYPE
C1	NC.0110206.A	C_CC7C_...8PF+-0,5PF_.50V	8pF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i201@bin.logic_unit_mc9s12ex(sch_1):page2_i126@standard_mm.capacitor(chips)	C0402T_RW
C10	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i498@standard_mm.capacitor(chips)	C0402T_RW
C100	NC.0094700.A	C_CX7C_.100NF..+-10nF_.16V	100nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i215@bin.xyz_accelerometer(sch_1):page1_i88@standard_mm.capacitor(chips)	C0402T_RW
C104	NC.0094676.A	C_CX7C_..10NF..+-1nF_.50V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i187@bin.the_terminator(sch_1):page1_i475@standard_mm.capacitor(chips)	C0402T_RW
C11	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i46@standard_mm.capacitor(chips)	C0402T_RW
C12	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i209@bin.low_side_controllers(sch_1):page3_i56@standard_mm.capacitor(chips)	C0603T_RW
C13	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i421@standard_mm.capacitor(chips)	C0603T_RW
C14	NC.0102083.A	C_CX6C_..10NF..+-1nF_100V	10nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i423@standard_mm.capacitor(chips)	C0603T_RW
C15	NC.0084366.A	C_CC6C_...1NF..+-0.005nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i425@standard_mm.capacitor(chips)	C0603T_RW
C16	NC.0094705.A	C_CX7C_...1NF..+-0.1nF_100V	1nF	2	@bin.top(sch_1):page1_i1937@bin.iaw_mej1(sch_1):page1_i183@bin.power_giga_small(sch_1):page1_i440@standard_mm.capacitor(chips)	C0402T_RW
