PARTNUMBER;CLASS;MODEL_FILE;SHAPE;PIN_CNT;VALUE;PTOL;NTOL;SPLIT;POLARITY
NC.0094676.A;CAPACITOR;;C0402T_RW;2;10n;10.00;-10.00;;0
NC.0094700.A;CAPACITOR;;C0402T_RW;2;100n;10.00;-10.00;;0
NC.0094703.A;CAPACITOR;;C0402T_RW;2;47n;10.00;-10.00;;0
NC.0094705.A;CAPACITOR;;C0402T_RW;2;1n;10.00;-10.00;;0
NC.0110004.A;CAPACITOR;;C0402T_RW;2;4.7n;10.00;-10.00;;0
NC.0110018.A;CAPACITOR;;C0402T_RW;2;470p;5.00;-5.00;;0
NC.0110206.A;CAPACITOR;;C0402T_RW;2;8p;5.00;-5.00;;0
NR.0101020.A;RESISTOR;;R0402T_RW;2;50m;5.00;-5.00;;0
NM.0030168.A;TERMORESISTOR;;R0805T_RW;2;?;0.00;-0.00;;0
NR.0100870.A;RESISTOR;;R0402T_RW;2;10k;5.00;-5.00;;0
NR.0104564.A;RESISTOR;;R0402T_RW;2;2.2k;5.00;-5.00;;0
NR.0107446.A;RESISTOR;;R0402T_RW;2;47k;5.00;-5.00;;0
NR.0107448.A;RESISTOR;;R0402T_RW;2;100k;5.00;-5.00;;0
NR.0107449.A;RESISTOR;;R0402T_RW;2;27k;5.00;-5.00;;0
NR.0107450.A;RESISTOR;;R0402T_RW;2;4.7k;5.00;-5.00;;0
NR.0107451.A;RESISTOR;;R0402T_RW;2;1k;5.00;-5.00;;0
NR.0110021.A;RESISTOR;;R0402T_RW;2;2.7k;5.00;-5.00;;0
NR.0110031.A;RESISTOR;;R0402T_RW;2;470k;5.00;-5.00;;0
NR.0110517.A;RESISTOR;;R0402T_RW;2;10k;1.00;-1.00;;0
NR.0111498.A;RESISTOR;;R0402T_RW;2;4.75k;1.00;-1.00;;0
NR.0111750.A;RESISTOR;;R0402T_RW;2;100;5.00;-5.00;;0
NR.0113550.A;RESISTOR;;R0402T_RW;2;3.9k;1.00;-1.00;;0
NR.0119451.A;RESISTOR;;R0402T_RW;2;30k;5.00;-5.00;;0
NR.0137594.A;RESISTOR;;R1206T_RW;2;5m;5.00;-5.00;;0
NR.0154673.A;RESISTOR;;R0402T_RW;2;1k;1.00;-1.00;;0
TP1_NO_CODE;TEST_POINT;;VTEST1B_SW;1;;0.00;-0.00;;0
TP2_NO_CODE;TEST_POINT;;VTEST1B_SW;1;;0.00;-0.00;;0
TP3_NO_CODE;TEST_POINT;;VTEST1B_SW;1;;0.00;-0.00;;0
